2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Kraft::N	амч	къары́у, кӏуачӏэ́	kiroro, mau	kayu-x́	قدرة	къуват, гуч	güc	көс	сіла	мощ, сила	জোর	nerzh	śat	хүсэн	força	гӏора	катгогыргын	力	síla	вӑй, хӑват	grym	kraft	гьунар, ахъри	хӏал, къуват	Kraft	jõud	δύναμη	force	ныху	fuerza	икнаӄа	indar	со̄	voima, väki	force	fórsa	кусун	כוח	ज़ोर, शक्ति	snaga	erő	ուժ	kraftur, afl	forza	ӄ’эфӄ’эф	力	ძალა	сём, юр	у	чадал, хүч	қарқын, әл-шама, әл-дәрмен, қуат	pissak	qewet, hêz	ಬಲ	세력	прак	этш, эбӧс	tarmo	vis	эллаж	гуж	joud	jėga	spēks	вий	куа́т, вий	ശക്തി	hūsun	ё̄р	ви	вий	никә	тьыӈ	kracht	kraft	voimu, vägi	хъомыс, тых	زور, توان	نیرو	moc, siła	força	putere, forță	сила	сыра	fápmu	ор	вӣгк	moc	síla	faamoe	fábmo	fááṃu	viõkk	forcë	kraft	நிர்பந்தம்	బలము	güç, kuvvet	егәр, дәрман	кать, ӟигар	сила	kuch	vägi	күчн	вэрвэ	ныхы	čīlə
Kragen::N	ахəда	пшъапӏ	kotpara	itx́a-	ياقة	габур	yaxa	яға	каўнер	яка	গলবন্ধ	gouzoug		заха	coll	кач	и’мнычурмын	领子	límec	ҫуха	coler	krave	хъаьбцӏари	мечӏ	Kragen	krae	κολάρο	collar	бякту	cuello	ныгилитан	idun	сага	kaulus	col	bóna	моӈгочоко	צוארון	गरदनी, गरेबान	ovratnik	gallér	օձիք	kragi, flibbi	colletto, bàvero	воротник	襟	საყელო	сапаӆ лак	сюяткәӄт	зах заам	жаға	qungasiinnaq	stûvang	ಕುತ್ತಿಗೆಪಟ್ಟಿ	깃	воротник	воротник	kaklus	collare	дарвач	хев	krǭig	apykaklė	apkakle	сиве	сога́	കുപ്പായക്കഴുത്ത്	lingse	сыплув то̄р, тулх	шӱ	сиве	камтүлюбтүˮ	ӄ’ос айс	kraag	krage	kagus	æфцæггот	غاړه	یقه	kołnierz	gola	guler	воротник	саҕа	kráva, čeabet	сой керы	ко̄а̄влас	golier	ovrátnik	döörhke	tjiebet, tjehpuris	siä'pulâs	seäp'plõs	jakë	krage	கழுத்துப் பட்டை	మాల	yaka	яка	сирес	комір	yoqa	kagluz	зах	эгииндукун	икадˮ(д)	ńe-moraj
Kralle::N		лъакъо	ami	qagalǵí-x́	مخلب	квачӏ, катиквачӏ	dırnaq	аяҡ	лапа	нокът	নখর	skilf	ćaṅ	һабар	grapa	тlод	ягылгын	爪子	dráp	ура	ewin	klo	кьялши, иика	лиду	Kralle	küünis	νύχι	claw	сама ӈо	uña, garra	итыгаӄ	atzapar, erpe	мана	kynsi	ongle, griffe	crobh	бэгди	טפר	पंजा, नाख़ून	pandža	karom	ճանկ	kló	artiglio, unghia		爪	ტორი	вой кур	буль	савар	аяқ	kukik	dinik, dirnax	ಉಗುರು	발툭	кабыр	гыж	käpälä	unguis	ххяппа	тапас, пац	kīņtš	nagas	nags	кенже	копа́, ла́па	നഖം	fatha	ӯйхул ка̄т	лапа	кенже	дямәз̌ә сюсюоз̌ә		klauw	klo	kynzi	дзӕмбы	منګول, پنجه	پنجه	pazur	unha, garra	gheară, labă	лапа	баппаҕай	gazza	топы	ке̄бпель	pazúr	krémpelj	gadtse	gadtsa	kozzâ	kõʒʒ	thua, kthetër	klo	நகம்	వంకరగోరు	tırnak	тырнак	пыд	лапа	tirnoq	künz'	тавг	угурчэ	лапӑ	uďiľ
Krankheit::N	ачымазара	узы	tashum	naǵana-x́	مرض	щокълъи, унти	xəstəlik	ауырыу, сир	хвароба	болест	ব্যামো, অসুখ	klañved	róok	үбшэлэлгэ	malaltia	цамгар	тъычгыргын	病	choroba, nemoc	чир	anhwylder, afiechyd	sygdom	изала	унти	Krankheit	haigus	αρρώστια	illness	каче	enfermedad	аӄниӷныӄ	gaixotasun, eritasun	энӯмук, усэмук	tauti, sairaus	maladie	breoiteacht, tinneas	энӯ	מחלה	रोग, बीमारी	bolest	kór, betegség	ախտ, հիվանդություն	sjúkdómur	malattìa	әӈӄсхном	病気	სენი, ავადმყოფობა	каши	даеӈ	эмгэг	ауру	nappaat	nexweşî	ರೋಗ	병	шог	висьӧм	läsintä, tauti	morbus	къашайшиву	тӏал	rujā	liga	slimība	урма́, сярядема	чер	അസുഖം	nimeku	а̄гм	мыж	сэредема, орма	коче	ӄолаф	ziekte	sykdom, syke	läžindy, taudi	низ, рын	ناروغي, مرض	بیماری	choroba	doença, enfermidade	maladie, boală	болезнь	ыарыы	dávda	ӄӱты	кэ̄бп	nemoc, choroba	bolézen	skïemtjelasse	skihpudahka, vihke, dávdda	puá'cuvuotâ, tavdâ	kõpp, puõccmoš	sëmundje	sjukdom	நோய்	రోగము	hastalık	сырхау, хаста, чир	висён	хвороба	kasallik	läžund	өвчн	йамдьил	хабцяʼ(н)	jou, jōľə
Kreis::N	агьагьа	хъура́й	karip	imu-x́	دائرة	гор	dairə	түңәрәк	круг	кръг	বৃত্ত	kelc'h	biḍíro giṣií	круг	cercle	го	кувлюк	圆	kruh	ҫавракӑш, ункӑ	cylch	cirkel	мява	ака	Kreis	ring	κύκλος	circle	поҫтэ	círculo		biribilki	тоӈолло	ympyrä	cercle	ciorcal	мухэргиэн	מעגל	चक्कर	krug	kör	շիջանակ	hringur	cìrcolo		円	წრე	еӈта лак, лак	круг	тойрог, хүрээ	шеңбер	kaajaluinneq or kaajaluitsoq	çemil	ವೃತ್ತ	고리	круг	кытш	čeri, kehä	orbis, circus	кюрщан	чкаяр, круг, элкъвей цӏар	kõ’r	apskritimas, apskritis, ratas	riņķis, aplis	шаркс	ты́ртыш	വൃത്തം	fuka	ла̄квап, ла̄кв	тӹртӹш	кирькс	дюйхи		cirkel, kring	ring, sirkel	pyörikkö, kruugu	зиллакк	دایره	دایره, حلقه	krąg	círculo	cerc	круг	төгүрүк, төгүрүмтэ	gierdu	таӈкы	круг	kruh	króg, kolobár	rïngke	gievlle	riggee	kruugg	qark, rreth	cirkel, krets	வட்டம்	వృత్తము	daire	түгәрәк	котырес	круг, коло	aylana	kehkruz, ümbruz	төгрг	поморкэ	сюртяв	
Kreuz::N	аџьар	къащ	tasa	kriista-x́	صليب	хъанч	xaç	тәре	крыж	кръст	ক্রুশ	kroaz			creu	жӏара		十字架	kříž	хӗрес	croes	kors, kryds	къанч	хъаӏнч	Kreuz	rist	σταυρός	cross		cruz		gurutze	латака	risti	croix	cros	сэвэки	צלב	क्रूस, सलीब	križ	kereszt	խաչ	kross, krossmark	croce		十字	ჯვარი	перна	бальбесь	загалмай	крест	sanningasulik	xaç	ಶಿಲುಬೆ	열십자	перна	крест, перна	risti	crux	ххач	хаш	rišt	kryžius	krusts	крёз	ыре́с	കുരിശടയാളം	šaka	перна	крестӹ	крёст			kruis	kryss, kors	ristu	дзуар	صلیب	صلیب	krzyż	cruz	cruce	крест	кириэс	rista	пирна	рысст	kríž	kríž	kroesse	ruossa	ristâ	ristt	kryq	kors, kryss	சிலுவை	సిలువ	haç	хач, тәре	крест	хрест	xoch	rist	кирс		хрест	kries
Krieg::N	аибашьра	зао́	tumi	alitxu-x́	حرب	рагъ	müharibə, hərb	һуғыш	вайна	война	যুদ্ধ	brezel	jaṅ, hólguṣ	дайн	guerra	тӏом	мараквыргын	战争	válka	вӑрҫӑ	rhyfel	krig	дявти, дургъби	рагъ	Krieg	sõda	πόλεμος	war	сайдума	guerra	пилъюгаӄ	guda	война, кусӣн	sota	guerre	cogadh	чаоха	מלחמה	युद्ध, जंग	rat	háború	պատերազմ	stríð	guerra	война’	戦争	ომი	ляль	каль	дайн	соғыс	sorsunneq	sêwaş, çeng	ಯುದ್ಧ	전쟁	война	ожман	sota	bellum	дяъви	дяве	suodā	karas	karš	война́	сар	യുദ്ധം	dain	во̄йна	вырсы	война		война	oorlog	krig	voinu	хӕст	جګړه	جنگ	wojna	guerra	război	война	сэрии	soahti	мӱты	туарр	vojna	vôjna	dåara	soahte	suáti	väi´nn	luftë	krig	போர்	యుద్ధము	savaş	сугыш	ож	війна	harb	soda	дән	лайньиичэ	сайнорма	serī
Kummer::N	агəырҩа	тхьамыкӏагъу	shiok	kihngu-x́	غم	хӏалкъай	qəm, kədər	ҡайғы	гора	тъга	দুঃখ	doan	durmúś, jariaár	гашуудал	pena	бала	лентъылгыргын, к’ылгэлёгыргын	苦恼	žal, trápení	хурлӑх	galar	sorg	дард	пашманлъи	Kummer	kurbus, mure	έγνοια	grief	маю	pena	илюӈиталъыӄ, илюӈиӽтыӄылъыӄ	xangrin, atsekabe	мэргэн	murhe, suru	chagrin, peine	buairt, brón	валиаха, кисиако	יגון, עגמה	शोक, दुःख	jad, briga	bánat	վիշտ	sorg	afflizione		悩み	მწუხარება	шук	аӈбет	гаслан	қасырет, қайғы, аза		derd	ದುಃಖ	슬픔	шог	шог	suru	aegritudo	дард	хажалат, дерт	porī	rūpestis, vargas	bēdas, raizes	пичефкс, ризф	о́йго	ശോകം	jobocun, usacun	во̄сьлыл, тыстыл	ясы	мелявкс, рискс	тату	ӈыусоркть	verdriet	sorg	gor'a, hädä	хъыг	غم	غصه, غم	zmartwienie	desgosto, aflição	mâhnire	горе	кутурҕан	moraš	кеккы	пя̄ццель, пэ̄джь	žiaľ, zármutok	gorjé	sårkoe	vádja, surggo	muurâš	pe´ccel	pikëllim, brengë	sorg	துயரம்	దుఃఖము	keder, dert	хәсрәт	куректон, кайгу	горе	g'am	gor'a	зовлң	пуорпэйл	маяʼ(н)	
Kälte::N	ахьҭа	чъыӏэ́	me	qinga-x́	برد	квач	soyuq	һыуыҡ	холад	студ	শৈত্য	yen	ćhaġúrum	хүйтэн	fred	шело	чьэчен’	寒冷	chlad	сивӗ	oerni, annwyd	kulde	бугӏярдеш	рочӏи	Kälte	külmus, külm	κρύο, ψύχος	chill	тэчиза	frío	аӄлъяӄ	hotz	иӈин	vilu, kylmyys	froid	fuacht	ноӈди	קר	सर्दी, शीतलता	studen, hladnoća	hideg	դող	kuldi	freddo		寒さ	სიცივე	иськи		хүйт	ызғар, суықтық	issi	serma	ಹಿಮ	추위, 차가움	кӧдзыт	кӧдзыд	vilu	frigus	дяркъу	мекь, мекьивал	kīlmatõks, kīlma	šaltis	saltums, aukstums	якшама	йӱ́штӧ	തണുപ്പ്	edun, beikuwen	асирма	ӱштӹ	якшамо	чесәгә	тивлаӈ, тивт	kou, koude	kulde	vilu	уазал	ساړه	سرما	chłód	frio	frig	холод	тымныы	čoaskin	ӄоӈкы	кэ̄лмас	zima, chlad	mràz	tjåetskeme, jueskie	tjoasskem	ko'lmâsvuotâ	tuârggnjõs, čuä´cǩǩem, ijss	të ftohtë	köld	குளிர்ந்த	చలి	soğukluk	суык, салкын	кезьыт	холод	ajoz	vilu	киитн	хандьэ	тецьда	čeďəďī
Körper::N	ацəеижь	пкъышъол	netoba	ingiu-x́	جسم	къаркъала	əndam	тән	цела	тяло	দেহ	korf	waṭ	бэе	cos	хӏума	увик	身体	tělo	ӳт-пӳ, ӳт	corff	legeme, krop	кьаркьала	гьиро	Körper	ihu, keha	κορμί, σώμα	body	ая	cuerpo	увиныӄ	soin	иллэ	keho, ruumis	corps	colainn, corp	бэе	גוף	शरीर, तन, देह	tijelo	test	մարմին	búkur, líkami	corpo	кылвыӆҳ	体	სხეული, ტანი	эӆ	китпель	бие	дене	timi	laş, gowde	ದೇಹ	구간	вывтыр	туша, вывтыр	runko	corpus	чурх	беден	kejā	kūnas	miesa, ķermenis	по́нда, ро́нга	кап	ശരീരം	beye	алпи	монгыр	рунго	сяхы	ӿал, ӿут	lichaam	kropp, legeme	rungu	буар	ځان	بدن, تن	ciało	corpo	corp	тело	бэйэ	rumaš	кэпы	роаӈӈьк, лышшьк	telo	teló	kråahpe	rumáj	ruumâš	rå´pp	trup	kropp	உடல்	కాయము	vücut	җисем, тән	вылтыр, мугор	тіло	badna	hibj	махмуд	кэдэл	ӈая	šure
Küste::N	ахықə	ӏушъо	pishto	adim haada	ساحل	рагӏал	sahil	яр буйы	узбярэжжа	крайбрежие, бряг	তীর	aod		эрье шадарай газар, эрье шадар газар	costa	йист	ан’к’ачгыеквэн	海岸	pobřeží	тинӗс ҫыранӗ	traeth, arfordir	kyst	дуб, дуб-алавла	шору	Küste	rannik	ακτή, ακρογιαλιά	coast	биз бар	costa	ыснам кынляӈа	itsasalde	дяпка, хули	rannikko	côte	cladach, cósta	кира	חוף	समुद्र-तट	morska obala, obala	tengerpart	ափ, ծովափ	strönd	costa	эрвэн	海岸	ნაპირი	ёхан	ульбаӈт	эрэг	жиегі, жағалау	sineriak	berav	ದಂಡೆ	해변가, 해변	берег	вадор	rannikko	litus	зуманицӏалу, зумаинхалу	къерех	rānda	pajūris	piekraste	ляйтърва́	вӱдтӱ́р	കടൽത്തീരം	dalin, jecen dalin	ва̄та	сир	лейчире	мәру		kust	kyst	rannikko	донбыл	ساحل	ساحل	wybrzeże	costa	coastă	побережье	кытыл	gáddi	ӄанык	рыннт	pobrežie	obréžje, obála	gaedtie, mïere	merragádde, merraguovllo	riddo	miârr'redd	bregdet, anëdet	kust	கடற்கரை	తీరము	kıyı, sahil	яр буе	вудур	узбережжя	qirg'oq	randišt	теңгсин көвә, көвә	сэмэчаа	я	
Laden::N	амагазин	туча́н		tayaalux́	دكان	тукен	dükan	магазин	магазін, крама	магазин, дюкян	দোকান	stal		магазин	tenda, botiga	туька	вэлыткоран	商店	krám	магазин	siop	butik, forretning	тукен	капрат	Laden	pood, kauplus	μαγαζί, κατάστημα	shop	лапка	tienda		saltegi, denda	магазин	kauppa, puoti	boutique, magasin	siopa	магазин	חנות	दुकान	dućan	bolt	խանութ, կրպակ	verslun, búð	negozio	энсхэ’ӆном	店	დუქანი, მაღაზია		лапка	дэлгүүр	дүкен	niuertarfik	dikan	ಅಂಗಡಿ	가게	магазин	вузасянін	kauppa	taberna	ттучан	магазин	būoḑ	parduotuvė, krautuvė	bode, veikals	ла́вка	ке́выт	കട	jalan, puseli	ла̄пка	лапка, магазин	лавка	лабку		winkel	butikk	laukku	дукани	دکان, مغازه	مغازه, دکان	sklep	loja	prăvălie, magazin	магазин	маҕаһыын	gávpi	лопкы	ла̄ффьк	obchod	trgovína	bovre	rámbuvdda, oases	kävppi, puvdâ	kaupp	dyqan	affär	கடை	అంగడి	dükkân	магазин, кибет	магазин	крамниця, магазин	do'kon	lauk	лавк	таӈдьинубэ нимэ, маӻазин	тэ̇мдолӑва	
Lagerfeuer::N	еиқуу амца	пхъэмашӏу	abe	qigna-x́	نار المخيم	цӏа	düşərgə tonqalı	костер	вогнішча	огнище	অগ্নি			түүдэбшэ	foc de campament	цӏе	пэнъёлгын	营火	táborák	вут, кӑвайт	coelcerth	lejrbål	цӏа	цӏи	Lagerfeuer	lõke	φωτιά	campfire	базуту	hoguera		su	гулувӯн	nuotio	feu de camp	tine champa	тава	מדורה	कैंप-फ़ायर, अलाव	logorska vatra	tábortűz	բացօդեայ կրակ	varðeldur	falò, fuoco di bivacco	уйирит	篝火	კოცონი	тут рат	богдөт	түүдэг	алау		agir	ಶಿಬಿರಾಗ್ನಿ	캠프의 모닥불	бипур	бипур	ropivo, nuotivo	ignis	къавтӏн	цӏай	põrāndõks	laužas	ugunskurs	то́лмар	туло́то	തീ	ihan tuwa	а̄рась, на̄й	тыл	толбандя	бәтүо туй, бәтүо	т’ур̌, т’уғр̌	kampvuur	leirbål	robl'o, rohjo	арт	اور	آتش	ognisko	fogueira	foc de tabără	костер	кутаа	dolla	тӱ	то̄лл	táborák	táborni ôgenj	dålle	sajijdållå	tullâ	toll	zjarr i madh, flakadan	lägereld	மூட்டம்	నెగడు	kamp ateşi	костёр	тылскем	вогнище	gulxan	nodj, pažag	костёр	лачил	тодабцьʼ(н)	
Land::N	атəыла	хэгъэ́́гу	moshiri	hamiǵ-	بلد	икълим, улка	ölkə	ил	краіна	страна	খেত	bro	yult	орон	país	мохк	нутэнут	国家	země	ҫӗр-шыв	gwlad	land		улка	Land	maa	χώρα	country	дя	país	нуна, страна	herrialde	страна	maa	pays	tír	страна	ארץ	देश, मुल्क	zemlja	ország	երկիր	land	paese	сәмт	国	მხარე, ქვეყანა	мув	ӄолеп	улс, орон	аймақ	nuna	welat	ದೇಶ	지방	страна	му	mua	terra	билаят	уьлкве	mǭ	žemė, šalis	zeme	мастор	эл	രാജ്യം	gurun	ма̄	сӓндӓлӹк	мастор	моу	страна, миф	land	land	mua	бӕстӕ	هېواد	کشور, مملکت	kraj	país	țară	страна	дойду	eanan	страна, тэттымын	ланнҍ, е̄ммьне	krajina, územie	dežêla	laante, eatneme	lánnda	eennâm	jânnam, mädd	vend	land	நாடு	దేశము	ülke	ил	шаер	країна	o'lka	ma	орн-нутг	лукунбурэбэ	я	lebē
Last::N	ахьанҭара		haraki	husi-x́	حمل	бакӏлъи	yük	ауырлыҡ	цяжар	товар	বোঝা	karg	baldá	хүндэ_юумэн, ащаан	càrrega	дукъ	имыт, рынрыё	负担	břemeno, náklad	сулмаклӑх, йывӑр япала	llwyth	byrde, last	декӏдеш	рокъ	Last	koorem	φορτίο	load		carga	уӄихтульъыӄ	zama, karga	ургэ	kuorma	charge, fardeau	ualach	хуйгэ	משא	भार	tovar	teher	բեռ	farmur, byrði	càrico	ка˘зварван	荷物	ტვირთი	ӆаварт		ачаа	ауыр зат, ауырлық	nammagaq	bar	ಹೊರೆ	무거운짐	тягота	сьӧкыдтор	kuorma	onus	гьиву	заланвал	viedām	nešulys, našta	krava	сталма, канкс	нӧ́лтыш	ഭാരം	acin, aciha	та̄рвит	нелӹц	сталмо, кандома	мынты		last, vracht	bør, last	paino	уаргъ	بار, پېټی	سنگینی, بار	ciężar, brzemię	carga	sarcină, povară	тяжесть	ыарахан	guorbmi	ситы	нуэдът	bremeno, ťarcha	tôvor	maajsoe	noade	kye'rmi	kue´rmm, nue´đđ	barrë	last, börda	பாரம்	బరువు	yük	йөк	секыт	тягар, вантаж	yuk	jüguz	күнд	иральадьэрукун	сӑӈгомʼ	
Laut::N	ашьҭыбжь	макъэ	hum	tunutu-x́	صوت	гьаракь, сас	səs	тауыш	гук	звук	ধ্বনি			шэмээн, дуун	so	аз	выргыргын	响声	zvuk	сасӑ	sain	lyd	тӏама	пӏес	Laut	hääl	ήχος	sound	му, сыгу	sonido		hots	ӣг	ääni	son	fuaim	сиасин	הגה	स्वर, ध्वनि	zvuk	hang	ձայն, հնչյուն	hljóð	suono		音	ხმა, ბგერა	сый	дуг, дух	дуу, анир	дыбыс, дауыс	torsukattak	deng, hês	ಶಬ್ದ	음성	шы	шы	iäni	sonus	чӏу	сес, ван	ki’l	garsas	skaņa	вайгяль	йӱк	ശബ്ദം	mudan	суй	юк	вайгель	дели	ау, тьыу, ыу	geluid, klank	lyd	iäni	мыр, зӕл	ږغ	صدا	dźwięk	som	sunet	звук	тыас	jietna	сӱмы	ӣнн	zvuk	glás	tjoeje	jiedna	jieṇâ	jiõnn	tingull	ljud	ஒலி	ధ్వని	ses	аваз	куара	звук	tovush	kulund	ә	чадьуу	муʼ(н)	qolil
Leben::N	аҧсҭазаара	гъашӏэ́	ishu-i	anǵ-	عيش, حياة	яшав	həyat	йәшәү	жыццё	живот	জীবন	buhez	jií	амидарал	vida	дахар	вагыргын	生命	život	пурнӑҫ	bywyd	liv	гӏямру	чӏаголъи	Leben	elu	βίος, ζωή	life	диричу	vida	кияӷныӄ	bizitza, bizi	бинӣ	elo, elämä	vie	beatha, saol	бин	חיים	जीवन, ज़िंदगी	život	élet	կյանք	líf	vita	соњӆэс	生活	სიცოცხლე	уӆапса	дъʼӄ	амьдрал, амь	өмір, тіршілік	inuussuseq	jiyan	ಜೀವನ	삶	олан	лов, олӧм	ikä, elämä	vita	оьрму	уьмуьр	je’l	gyvenimas, gyvybė	dzīve	эряф, эряма	и́лыш	ജീവൻ	ergen	о̄лупса, нот	житя	эрямо	нилу		leven	liv	elo, elaigu	цӕрӕнбон, цард	ژوند	زندگی, عمر	życie	vida	viață	жизнь	тыын	eallin	илы	я̄лл	život	življênje	hïegke	iellem, hægga, viessom	eellim	jie´llem	jetë	liv	வாழ்க்கை	ప్రాణము	hayat	тормыш, тереклек, гомер	улон	життя	hayot	elo	җирһл	эдьил	илʼ(н)	eďil
Leber::N	агəаҵəа	шӏу	kinop	aaǵi-x́	كبد	тӏул	qara ciyər	бауыр	печань	черен дроб	যকৃৎ	avu	-kin	эльгэн	fetge	доӏах	понты	肝	játra	пӗвер	iau	lever	печень	жуби	Leber	maks	συκωτί, ήπαρ	liver	муз	hígado	тыӈуӄ	gibel	хакин	maksa	foie	ae	па	כבד	जिगर, यकृत्	jetra	máj	լյարդ	lifur	fegato	понтапонт	肝臓	ღვიძლი	мохал	сеӈ	элэг	бауыр	tinguk	kezeb	ಯಕೃತ್ತು	간	мус	мус	maksa	iecur		лекь	maksā	kepenys	aknas	макса	мокш	കരൾ	fahūn	ма̄йт	мокш	максо	митә	тивс	lever	lever	maksu	игæр	ينه, ځیګر	کبد	wątroba	fígado	ficat	печень	быар	vuoivvas	мыты	вуйвас	pečeň	jétra	mueksie	librre	vuoivâs	vuõivâs	mëlçi	lever	கல்லீரல்	కాలేయము	karaciğer	бавыр	мус	печінка	bag'ir	maks	элкн	альаайэ, альаайэӈ	мыд	kudeďə
Leder::N	ацəа	кӏы́шъу	tonto	igluqa-x́	جلد	тӏом	dəri	күн	скура	кожа	পাকা চামড়া	lêr	baṭ	арһан	cuir	цӏока	гылгын	皮革	kůže	сӑран	lledr	skind	дабагъ	дабагъ	Leder	nahk	πετσί	leather	тобъя	cuero	амираӄ	larru	нечуксэ, ӣвчэ	nahka	cuir	leathar	нанта	עור	चमड़ा	koža	bőr	կաշի	skinn	pelle		革	ტყავი	сох	ӄайлясь, кусьлясь, туӈ	арьс, савхи	көн		çerm	ಚಕ್ಕಳ	가죽	кучик	ку	nahka	corium	бурчу	тумаж	nǭ’gõ	oda	āda	кедь	шӱ́штӧ, сура́н	തുകൽ	sukū	сов	кавашты, шарга	киське	тубаˮкә	ӈағр̌	leer, leder	lær, skinn	tal'l'u, nahkz	мæскуы	څرمن	چرم	skóra	couro	piele	кожа	тирии	náhkki, leaira	ӄопы	на̄ххьк	koža	úsnje	hovre	sassne	čevđi	čåu´dd	lëkurë	läder	பதம் செய்யப்பட்ட தோல்	బాగుచేసివతోలు	deri, meşin	күн	сурон	шкіра	charm	nahk	арсн	сава, саваӈ	тобъёва	ajiŋ
Lehm::N	анышəаҧшь	етӏагъо́	fure-toi	qudiiǵu-x́	طين	хӏатӏ	palçıq, gil	балсыҡ	гліна	глина	মৃত্তিকা			шабар	argila, fang	поппар	ръылк’ын	粘土	jíl, hlína	тӑм	clai	ler		гьимичӏ	Lehm	savi	πηλός	clay	лубу	barro	уӽа	buztin	тыпала̄	savi	glaise	cré	тохала	חרסית	चिकनी मिट्टी	ilovača, glina	agyag, vályog	կավ	leir	argilla		ローム	თიხა	сохта	тультан	шавар	балшық	marraq	kelpîç	ಜೇಡಿಮಣ್ಣು	찰흙	сёй	сёй	savi	lutum	сина аьрщи	ччеб	sä’v	molis	māls	сёвонь	шун	കളിമണ്ണ്	yeye boihon	ра̄кт	шун	сёвонь	сату	орми	klei	leire	savi	ӕлыг	خټه	گل	glina	argila, barro	lut, humă	глина	туой	láirá	щё	чуййв, чуввьй	íl, hlina	ílo	laejrie	lænnjgá	njaajâ	saavv	argjilë	lera	களிமண்	బంకమన్ను	balçık	балчык	сюй	глина	loy	savi	шавр	өнидьэ	няхаба	glīnə
Leine::N	аҕура	шъокӏапс		uyaǵasi-x́	قيد		kəmsik	бау	павадок	въже, връв	শিকল	roll	baláṅ -ićiṅ -iṅ	ооһор	corretja	кочатосу доьхка	к’оолгын	皮带	vodítko	касмӑк	tennyn	snor	гьая		Leine	jalutusrihm	σχοινί	leash	бинэ	correa		lotura	усӣ	talutushihna	laisse	iall		מושכות	रस्सी	uzica	póráz	փոկ	band	guinzaglio		綱	ჯაჭვი			оосор	тізгін	aleq	şirît	ಹಗ್ಗ	고삐줄	повод	юргез	hiihna	retinaculum			kikīm	pavadėlis	saite	вядьме	вӱра́ҥ	കെട്ടാനുള്ള തോൽവാർ	sūna	се̄рмат ква̄лыг	керем	ведьме	соӈ		lijn	line	kagluremeni		رسۍ	قلاده	smycz	trela	curea, lesă	поводок	тэһиин	oarra, báddi	ӱны	ла̄ммч	vodidlo	konôpec	baante	gájnno	läbži	läbǯǯ	rrip	lina	தோல்வார்	వారు	kayış	тезген	думет	шворка	etak	talutimnor	нохан көтлвр, бурнтг	игийэ	иня	
Leiter::N	амардуан	дэкӏояпӏэ́, лъэо́й	nikara	analux́	سلم	мали	nərdivan	баҫҡыс	лесвіца	стълба	মই	skeul	ćhiṣ	стремянка, заахан гэшхүүр	escala de mà, escala	лами	тыттатъёлгын	梯子	žebřík	пусма	ysgol	stige	ганзухъ, ганзи	лӏе	Leiter	redel	σκάλα, κλίμακα	ladder	тодачи	escalera	маюӷатаӷвик	zurubi	туктывӯн	tikapuut, tikkaat	échelle	dréimire	то̄кпон	סלם	सीढ़ी	ljestvice, ljestve	létra	սանդուղք	stigi	scala a pioli, scala	кич	梯子	კიბე	хомтэп	булуксаӈ өксь	шат	саты, басқыш	majuartarfiit, tummeqqat	pêling	ಏಣಿ	사닥다리	лиснич	пос	vajat	scalae	чуртту	гурар	strep, re’ḑḑõl	kopėčios	redeles, kāpnes	куцема	тошка́лтыш	ഏണി	wan	ха̄ӈхылтап	ташкалтыш	кузтема	дилтәбся, тамтүˮтәбса	ньӈар̌	ladder	stige	pordahat	асин	زينه	نردبان	drabina	escada, escada móvel	scară	лестница	кирилиэс	ráidalas	сырсапо	лествец	rebrík, rebrina	léstev	raajtere	tjajmos, boagos	raidlâs		shkallë	stege	ஏணி	నిచ్చెన	merdiven	баскыч	падӟа	драбина	narvon	pordhad	шат, давшур		тӑнӑцьʼ(н), тӑнцяˮ	
